CountryName,Code,Year,Population,latitude,longitude
Afghanistan,AFG,2023,41454762,33.93911,67.709953
Albania,ALB,2023,2811660,41.153332,20.168331
Algeria,DZA,2023,46164221,28.033886,1.659626
American Samoa,ASM,2023,47543,-14.270972,-170.132217
Andorra,AND,2023,80868,42.546245,1.601554
Angola,AGO,2023,36749907,-11.202692,17.873887
Anguilla,AIA,2023,14435,18.220554,-63.068615
Antigua and Barbuda,ATG,2023,93333,17.060816,-61.796428
Argentina,ARG,2023,45538402,-38.416097,-63.616672
Armenia,ARM,2023,2943395,40.069099,45.038189
Aruba,ABW,2023,107946,12.52111,-69.968338
Australia,AUS,2023,26451125,-25.274398,133.775136
Austria,AUT,2023,9130434,47.516231,14.550072
Azerbaijan,AZE,2023,10318210,40.143105,47.576927
Bahamas,BHS,2023,399452,25.03428,-77.39628
Bahrain,BHR,2023,1569674,25.930414,50.637772
Bangladesh,BGD,2023,171466986,23.684994,90.356331
Barbados,BRB,2023,282348,13.193887,-59.543198
Belarus,BLR,2023,9115680,53.709807,27.953389
Belgium,BEL,2023,11712894,50.503887,4.469936
Belize,BLZ,2023,411115,17.189877,-88.49765
Benin,BEN,2023,14111035,9.30769,2.315834
Bermuda,BMU,2023,64721,32.321384,-64.75737
Bhutan,BTN,2023,786387,27.514162,90.433601
Bolivia,BOL,2023,12244161,-16.290154,-63.588653
Bosnia and Herzegovina,BIH,2023,3185071,43.915886,17.679076
Botswana,BWA,2023,2480242,-22.328474,24.684866
Brazil,BRA,2023,211140731,-14.235004,-51.92528
British Virgin Islands,VGB,2023,39008,18.420695,-64.639968
Brunei,BRN,2023,458959,4.535277,114.727669
Bulgaria,BGR,2023,6795804,42.733883,25.48583
Burkina Faso,BFA,2023,23025778,12.238333,-1.561593
Burundi,BDI,2023,13689455,-3.373056,29.918886
Cambodia,KHM,2023,17423881,12.565679,104.990963
Cameroon,CMR,2023,28372688,7.369722,12.354722
Canada,CAN,2023,39299099,56.130366,-106.346771
Cape Verde,CPV,2023,522335,16.002082,-24.013197
Cayman Islands,CYM,2023,73055,19.513469,-80.566956
Central African Republic,CAF,2023,5152417,6.611111,20.939444
Chad,TCD,2023,19319073,15.454166,18.732207
Chile,CHL,2023,19658834,-35.675147,-71.542969
China,CHN,2023,1422584937,35.86166,104.195397
Colombia,COL,2023,52321152,4.570868,-74.297333
